"","Weather","Herbicide_Application","Manure","Weeds","Fungicide_Application","Nitrogen","Fertilizer_Application","Filter_Cake","Amount_of_N_Fertilizer","Type_of_N_Fertilizer","Mechanical_Cultivation","Pests_and_Disease","Soil","Yield","Water_Application","Hand_Weeding","Potash","Compound_D","Single_Supers","Timing_of_Dressings","Trash_Burning","Heat_Treatment","Pesticide_Application"
"39","favourable","no","no","dirty","yes","not_effective","not_effective","no","1","urea","yes","free","poor","0_to_70","0.5","lots","yes","no","yes","right","no","yes","no"
"40","favourable","no","no","clean","yes","effective","not_effective","yes","0.5","urea","no","infested","good",">=_100","0.75","lots","yes","no","yes","wrong","yes","no","no"
"41","favourable","no","no","dirty","no","effective","not_effective","yes","0.5","AN","no","infested","good",">=_100","0.75","lots","no","no","no","right","yes","no","yes"
"42","favourable","no","yes","clean","no","not_effective","effective","yes","1","AN","no","infested","poor","0_to_70","0.75","less","yes","yes","no","right","yes","yes","no"
"43","unfavourable","no","yes","clean","yes","not_effective","not_effective","yes","0.5","AN","no","infested","good","0_to_70","1","lots","no","no","no","wrong","yes","yes","no"
"44","favourable","no","no","dirty","no","effective","not_effective","yes","0.5","AN","yes","free","good","0_to_70","1","lots","no","yes","no","right","no","yes","yes"
"45","unfavourable","no","yes","clean","no","not_effective","not_effective","yes","1","urea","no","infested","good","0_to_70","1","lots","yes","no","yes","wrong","yes","yes","no"
"46","unfavourable","yes","yes","clean","no","not_effective","effective","yes","1","AN","yes","infested","good","0_to_70","0.5","less","yes","no","yes","right","yes","yes","no"
"47","unfavourable","yes","no","clean","no","not_effective","not_effective","yes","1","AN","yes","free","good","70_to_100","0.5","less","yes","no","no","wrong","yes","yes","no"
"48","unfavourable","no","yes","clean","yes","not_effective","not_effective","yes","0.5","urea","no","infested","good","70_to_100","1","lots","no","no","yes","right","no","no","yes"
"49","favourable","no","no","clean","no","effective","not_effective","yes","1","AN","yes","infested","good","70_to_100","0.5","less","no","no","no","wrong","yes","yes","yes"
"50","favourable","no","no","clean","yes","not_effective","not_effective","no","0.5","urea","no","infested","good","70_to_100","1","lots","no","no","no","right","no","yes","yes"
"51","favourable","no","yes","dirty","no","not_effective","effective","no","0.5","urea","yes","free","poor","0_to_70","0.75","less","no","no","yes","right","yes","yes","yes"
"52","unfavourable","no","no","clean","no","effective","not_effective","yes","1","AN","no","free","good","70_to_100","1","less","yes","no","yes","right","no","no","yes"
"53","favourable","yes","yes","dirty","yes","not_effective","effective","yes","1","urea","yes","free","good","0_to_70","0.75","lots","no","yes","no","wrong","no","no","no"
"54","unfavourable","no","no","dirty","no","not_effective","effective","yes","1","urea","no","infested","good",">=_100","0.5","less","no","no","yes","right","no","yes","no"
"55","favourable","no","yes","clean","no","effective","effective","yes","0.5","AN","no","free","poor","0_to_70","1","lots","yes","yes","no","wrong","no","no","yes"
"56","unfavourable","yes","no","dirty","no","effective","not_effective","no","0.5","urea","no","infested","good","0_to_70","1","less","no","no","no","wrong","no","yes","no"
"57","favourable","no","no","dirty","yes","effective","effective","no","0.5","AN","no","infested","good","70_to_100","0.5","lots","no","yes","no","right","yes","no","no"
"58","unfavourable","no","yes","dirty","no","effective","not_effective","no","0.5","AN","yes","free","good","70_to_100","0.75","lots","no","yes","yes","wrong","yes","yes","yes"
"59","favourable","no","no","dirty","yes","effective","not_effective","yes","1","urea","yes","free","good",">=_100","0.5","less","no","no","yes","wrong","no","yes","no"
"60","favourable","no","yes","dirty","no","effective","not_effective","yes","1","AN","yes","free","good","70_to_100","0.75","lots","no","yes","no","right","yes","no","yes"
"61","favourable","no","yes","clean","no","effective","effective","no","0.5","AN","no","free","poor","70_to_100","0.5","lots","yes","no","no","wrong","yes","yes","no"
"62","unfavourable","no","no","clean","yes","not_effective","not_effective","yes","0.5","AN","yes","free","good","0_to_70","0.5","less","no","yes","yes","wrong","no","yes","no"
"63","favourable","yes","yes","clean","no","effective","not_effective","yes","0.5","AN","yes","free","poor",">=_100","0.5","lots","yes","no","no","right","yes","no","yes"
"64","unfavourable","yes","yes","clean","yes","effective","effective","yes","0.5","urea","yes","infested","poor",">=_100","1","lots","yes","no","no","wrong","yes","yes","yes"
"65","unfavourable","no","no","clean","yes","not_effective","not_effective","yes","1","AN","no","free","good",">=_100","0.5","lots","no","yes","no","wrong","no","yes","no"
"66","favourable","yes","yes","dirty","yes","not_effective","effective","no","0.5","urea","no","free","poor","0_to_70","0.75","less","no","no","no","wrong","no","no","yes"
"67","unfavourable","yes","no","clean","yes","effective","effective","yes","0.5","urea","yes","free","poor",">=_100","1","lots","yes","no","yes","right","no","yes","yes"
"68","favourable","no","no","dirty","no","effective","not_effective","yes","1","urea","no","free","good","0_to_70","1","less","no","no","no","right","no","yes","yes"
"69","favourable","no","no","dirty","no","effective","effective","yes","0.5","urea","no","free","poor","70_to_100","0.5","less","yes","no","no","wrong","no","yes","yes"
"70","unfavourable","yes","no","dirty","yes","not_effective","not_effective","yes","1","urea","yes","free","poor",">=_100","0.5","less","yes","yes","yes","wrong","no","no","yes"
"71","unfavourable","yes","no","clean","yes","not_effective","not_effective","no","0.5","urea","no","infested","good","0_to_70","0.5","less","yes","yes","yes","wrong","no","no","yes"
"72","favourable","yes","yes","dirty","yes","effective","not_effective","no","1","AN","no","free","good",">=_100","1","lots","yes","no","yes","wrong","yes","yes","no"
"73","unfavourable","no","yes","clean","no","effective","effective","yes","1","urea","no","infested","good",">=_100","1","less","no","yes","no","wrong","no","yes","no"
"74","favourable","no","no","dirty","yes","effective","effective","yes","0.5","urea","yes","infested","poor",">=_100","0.75","lots","yes","no","yes","right","no","no","no"
"75","unfavourable","no","no","clean","yes","not_effective","effective","no","0.5","urea","no","infested","good","0_to_70","1","less","no","yes","yes","wrong","no","yes","no"
"76","favourable","yes","no","dirty","no","effective","not_effective","no","1","AN","no","infested","good","70_to_100","1","less","yes","yes","no","wrong","yes","yes","no"
"77","favourable","no","no","dirty","yes","not_effective","not_effective","yes","0.5","AN","no","free","good","70_to_100","1","lots","no","yes","yes","wrong","no","no","no"
"78","unfavourable","yes","no","clean","no","effective","not_effective","no","0.5","AN","no","free","poor","70_to_100","1","lots","yes","yes","no","wrong","yes","yes","no"
"79","favourable","no","no","dirty","yes","not_effective","not_effective","no","1","urea","yes","infested","poor",">=_100","1","less","yes","no","no","right","no","yes","yes"
"80","unfavourable","yes","yes","dirty","no","not_effective","not_effective","no","0.5","AN","no","infested","good",">=_100","0.75","less","no","no","no","wrong","yes","no","no"
"81","unfavourable","yes","no","dirty","yes","not_effective","not_effective","yes","1","urea","no","infested","poor","0_to_70","0.75","less","no","yes","yes","right","yes","yes","no"
"82","favourable","no","no","dirty","yes","effective","effective","yes","1","AN","no","infested","good","70_to_100","0.5","lots","yes","no","no","right","no","no","yes"
"83","favourable","no","yes","clean","no","effective","effective","no","1","AN","no","free","good","0_to_70","0.75","lots","yes","no","yes","wrong","no","no","yes"
"84","favourable","yes","yes","dirty","yes","not_effective","effective","no","0.5","urea","yes","infested","poor","70_to_100","1","lots","yes","yes","no","right","yes","no","no"
"85","favourable","yes","yes","clean","yes","not_effective","effective","yes","1","urea","yes","free","poor","70_to_100","1","lots","no","no","yes","right","yes","yes","yes"
"86","unfavourable","no","yes","clean","yes","effective","effective","yes","0.5","urea","no","free","poor","0_to_70","0.5","less","no","no","no","wrong","no","no","no"
"87","unfavourable","yes","no","clean","no","effective","effective","yes","0.5","AN","no","infested","poor","0_to_70","0.5","less","yes","no","no","wrong","no","no","yes"
"88","unfavourable","yes","no","clean","yes","effective","effective","no","1","AN","no","infested","poor","0_to_70","0.75","less","yes","no","yes","wrong","no","yes","no"
"89","favourable","no","no","clean","yes","effective","not_effective","yes","0.5","AN","no","infested","poor","70_to_100","0.75","less","no","yes","yes","wrong","yes","yes","no"
"90","favourable","yes","yes","clean","yes","not_effective","effective","no","1","urea","yes","infested","good",">=_100","0.5","lots","no","no","no","wrong","yes","no","no"
"91","favourable","yes","no","dirty","yes","effective","effective","yes","1","urea","yes","infested","poor",">=_100","0.75","lots","yes","no","yes","right","no","no","yes"
"92","unfavourable","no","yes","dirty","yes","effective","not_effective","no","0.5","urea","yes","free","poor",">=_100","0.5","less","yes","no","yes","right","yes","yes","yes"
"93","favourable","no","no","clean","no","effective","effective","no","0.5","urea","yes","infested","good",">=_100","0.75","less","no","yes","yes","wrong","no","no","yes"
"94","unfavourable","no","yes","dirty","yes","not_effective","effective","no","0.5","urea","yes","free","good","0_to_70","0.5","less","no","yes","no","right","yes","no","yes"
"95","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","no","1","AN","yes","free","poor",">=_100","0.75","less","no","no","no","wrong","no","yes","no"
"96","unfavourable","yes","no","dirty","yes","effective","not_effective","yes","1","urea","yes","free","poor","70_to_100","1","lots","yes","yes","yes","right","no","yes","yes"
"97","unfavourable","no","yes","dirty","yes","not_effective","not_effective","no","0.5","AN","yes","free","poor",">=_100","0.75","lots","yes","no","no","wrong","no","no","yes"
"98","favourable","no","yes","dirty","yes","not_effective","effective","no","0.5","AN","yes","infested","poor",">=_100","0.75","lots","yes","yes","yes","right","no","yes","yes"
"99","unfavourable","yes","yes","clean","no","not_effective","effective","no","0.5","urea","yes","free","good","0_to_70","1","less","yes","no","no","right","yes","no","no"
"100","unfavourable","no","no","clean","no","effective","not_effective","yes","1","urea","yes","infested","good",">=_100","0.5","less","no","yes","yes","wrong","no","no","no"
"101","unfavourable","no","no","clean","no","effective","not_effective","yes","1","urea","yes","infested","good",">=_100","0.75","lots","no","yes","yes","right","yes","no","no"
"102","favourable","no","no","clean","yes","not_effective","not_effective","no","0.5","AN","no","free","poor","70_to_100","0.5","less","no","yes","no","wrong","no","yes","no"
"103","unfavourable","yes","yes","dirty","no","effective","effective","no","1","urea","yes","infested","good","0_to_70","0.5","less","no","yes","no","wrong","yes","yes","no"
"104","favourable","no","no","clean","no","not_effective","not_effective","no","0.5","AN","yes","free","poor","0_to_70","1","less","no","yes","yes","wrong","yes","no","no"
"105","favourable","no","no","dirty","yes","not_effective","effective","yes","0.5","urea","no","free","good","0_to_70","0.5","less","yes","no","yes","right","yes","no","yes"
"106","favourable","yes","yes","dirty","yes","effective","effective","no","1","urea","yes","free","poor","70_to_100","0.5","less","no","yes","no","wrong","yes","no","yes"
"107","favourable","no","yes","clean","yes","not_effective","not_effective","yes","0.5","AN","yes","free","good",">=_100","1","less","no","yes","yes","wrong","no","yes","yes"
"108","favourable","no","no","dirty","yes","effective","not_effective","no","1","urea","yes","infested","good","0_to_70","1","lots","no","no","no","right","no","no","yes"
"109","unfavourable","yes","yes","clean","yes","not_effective","effective","yes","0.5","AN","yes","free","good",">=_100","1","lots","yes","no","yes","right","yes","yes","no"
"110","favourable","no","yes","clean","yes","not_effective","effective","yes","0.5","AN","yes","infested","good","0_to_70","1","less","yes","yes","no","wrong","no","no","yes"
"111","unfavourable","yes","yes","clean","yes","not_effective","effective","yes","0.5","AN","no","free","good",">=_100","0.5","lots","yes","no","yes","wrong","yes","no","no"
"112","favourable","yes","no","clean","yes","effective","effective","no","0.5","AN","no","free","poor","0_to_70","1","less","yes","no","no","wrong","yes","no","yes"
"113","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","yes","0.5","urea","no","free","good","70_to_100","1","lots","yes","no","yes","wrong","no","yes","yes"
"114","unfavourable","no","no","dirty","yes","not_effective","effective","no","0.5","urea","no","infested","poor",">=_100","0.75","less","yes","no","no","right","no","no","no"
"115","favourable","no","yes","clean","yes","not_effective","not_effective","yes","1","urea","yes","free","poor","0_to_70","0.5","less","no","yes","yes","right","yes","yes","yes"
"116","unfavourable","no","yes","dirty","no","effective","not_effective","yes","0.5","AN","yes","free","poor","0_to_70","0.75","less","no","no","yes","right","yes","yes","no"
"117","favourable","yes","yes","clean","no","effective","effective","yes","1","AN","yes","infested","good","0_to_70","0.75","less","yes","yes","yes","wrong","no","no","no"
"118","favourable","yes","yes","clean","no","effective","not_effective","yes","1","AN","yes","infested","poor","70_to_100","0.75","lots","yes","yes","no","right","yes","yes","yes"
"119","unfavourable","yes","no","clean","yes","effective","effective","no","0.5","AN","no","free","poor","70_to_100","1","less","no","yes","yes","right","no","no","no"
"120","unfavourable","yes","no","clean","no","not_effective","effective","yes","1","urea","no","infested","good",">=_100","1","less","yes","no","yes","right","no","yes","yes"
"121","unfavourable","no","yes","dirty","yes","effective","effective","no","1","AN","yes","infested","poor",">=_100","0.5","lots","yes","yes","no","right","no","no","yes"
"122","unfavourable","yes","yes","dirty","no","effective","effective","yes","0.5","AN","yes","free","poor","70_to_100","1","less","no","yes","yes","right","yes","no","no"
"123","unfavourable","yes","yes","clean","yes","effective","not_effective","yes","0.5","urea","no","infested","poor","70_to_100","1","less","yes","yes","yes","wrong","no","yes","yes"
"124","unfavourable","no","yes","clean","no","not_effective","not_effective","yes","0.5","urea","yes","infested","poor","70_to_100","1","lots","no","yes","yes","right","no","yes","no"
"125","favourable","yes","no","dirty","yes","not_effective","not_effective","no","1","AN","no","infested","poor",">=_100","1","less","no","yes","yes","right","no","yes","no"
"126","favourable","no","yes","dirty","yes","effective","effective","yes","0.5","urea","yes","infested","good","70_to_100","0.5","lots","yes","yes","yes","right","no","no","no"
"127","favourable","no","no","dirty","yes","effective","not_effective","no","1","urea","yes","free","poor","70_to_100","0.75","lots","no","no","no","wrong","no","yes","no"
"128","favourable","yes","yes","clean","yes","effective","not_effective","yes","1","AN","yes","free","good","0_to_70","1","less","yes","no","no","wrong","no","no","no"
"129","favourable","no","yes","dirty","yes","not_effective","effective","yes","0.5","urea","yes","free","poor","0_to_70","0.75","lots","no","no","no","right","yes","no","yes"
"130","unfavourable","yes","yes","dirty","no","not_effective","effective","no","0.5","urea","no","infested","good",">=_100","0.75","less","no","yes","no","right","yes","no","yes"
"131","unfavourable","yes","yes","dirty","no","effective","not_effective","no","1","urea","no","free","poor","70_to_100","0.75","less","yes","yes","no","right","no","no","yes"
"132","favourable","no","yes","clean","yes","not_effective","effective","no","1","urea","no","free","good","0_to_70","1","less","no","no","no","wrong","yes","no","no"
"133","favourable","no","yes","dirty","no","effective","not_effective","yes","1","AN","yes","infested","poor","70_to_100","1","less","yes","no","yes","wrong","yes","no","yes"
"134","favourable","no","no","dirty","yes","effective","effective","yes","1","urea","yes","infested","good","70_to_100","1","less","no","no","yes","wrong","no","yes","no"
"135","favourable","no","no","clean","no","not_effective","effective","no","1","AN","no","infested","poor","0_to_70","1","less","yes","no","yes","wrong","no","no","no"
"136","favourable","no","no","clean","no","effective","not_effective","no","1","AN","no","infested","poor","70_to_100","0.75","less","yes","no","yes","wrong","yes","yes","yes"
"137","unfavourable","yes","no","clean","yes","not_effective","effective","no","1","AN","yes","free","poor","0_to_70","0.5","lots","no","yes","yes","right","yes","no","no"
"138","unfavourable","no","yes","clean","no","not_effective","effective","yes","1","urea","no","infested","good","70_to_100","1","less","yes","yes","yes","wrong","no","yes","yes"
"139","favourable","yes","yes","clean","no","effective","not_effective","no","1","urea","yes","infested","poor","0_to_70","0.75","lots","yes","no","yes","wrong","yes","yes","no"
"140","favourable","no","no","dirty","yes","effective","not_effective","no","0.5","urea","yes","free","good",">=_100","0.75","lots","yes","no","no","right","yes","no","no"
"141","favourable","yes","no","dirty","no","not_effective","effective","yes","0.5","AN","yes","free","poor",">=_100","1","lots","no","no","yes","right","yes","no","yes"
"142","unfavourable","no","no","clean","yes","not_effective","not_effective","no","1","urea","yes","infested","good","0_to_70","0.5","lots","no","no","yes","wrong","yes","no","no"
"143","favourable","no","yes","clean","yes","not_effective","effective","no","0.5","AN","yes","infested","poor",">=_100","0.5","lots","yes","yes","yes","wrong","yes","yes","no"
"144","unfavourable","yes","no","dirty","no","effective","effective","yes","1","urea","no","infested","poor","70_to_100","0.5","less","no","yes","yes","right","no","no","yes"
"145","unfavourable","yes","no","dirty","no","effective","not_effective","no","0.5","urea","no","infested","poor","70_to_100","0.5","lots","yes","yes","no","right","no","no","yes"
"146","unfavourable","yes","yes","clean","no","not_effective","effective","no","0.5","urea","no","free","good",">=_100","1","less","yes","no","no","right","no","no","yes"
"147","favourable","no","no","dirty","yes","effective","effective","no","1","AN","yes","free","poor","0_to_70","0.75","lots","yes","no","no","right","no","no","yes"
"148","favourable","no","no","clean","yes","effective","not_effective","no","1","AN","yes","infested","poor",">=_100","0.5","less","yes","yes","no","wrong","no","yes","no"
"149","unfavourable","yes","yes","clean","yes","not_effective","effective","no","0.5","urea","yes","free","poor",">=_100","0.75","lots","yes","yes","no","right","no","no","no"
"150","favourable","no","yes","clean","yes","effective","effective","no","0.5","urea","no","infested","poor",">=_100","1","less","no","no","yes","right","yes","no","no"
"151","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","no","0.5","urea","yes","infested","good",">=_100","0.75","less","no","yes","yes","right","no","yes","yes"
"152","unfavourable","yes","no","dirty","no","not_effective","effective","yes","1","urea","yes","infested","poor","70_to_100","0.75","less","no","no","no","right","yes","yes","no"
"153","unfavourable","yes","yes","dirty","no","effective","not_effective","no","1","urea","no","free","good",">=_100","0.5","less","yes","no","no","right","yes","no","yes"
"154","unfavourable","yes","yes","clean","yes","not_effective","not_effective","no","1","AN","no","infested","poor","0_to_70","0.5","less","yes","yes","no","wrong","no","yes","yes"
"155","unfavourable","yes","yes","dirty","yes","effective","effective","yes","1","urea","no","free","poor",">=_100","0.5","lots","yes","no","yes","wrong","no","yes","no"
"156","unfavourable","no","yes","clean","no","effective","not_effective","no","1","urea","yes","infested","good","70_to_100","0.5","less","no","no","yes","wrong","yes","no","yes"
"157","favourable","no","no","clean","no","effective","not_effective","yes","1","AN","no","free","good","70_to_100","0.5","lots","no","no","yes","right","yes","no","no"
"158","favourable","yes","no","clean","no","not_effective","effective","no","1","urea","no","free","poor","0_to_70","0.75","less","yes","no","no","wrong","yes","no","no"
"159","favourable","yes","no","dirty","yes","not_effective","not_effective","yes","1","urea","yes","free","poor","70_to_100","1","less","no","yes","yes","wrong","yes","no","no"
"160","favourable","yes","no","clean","yes","not_effective","not_effective","no","1","AN","no","free","good","0_to_70","1","less","yes","no","no","right","no","yes","yes"
"161","favourable","yes","no","clean","yes","not_effective","not_effective","no","0.5","urea","no","free","good",">=_100","1","less","yes","yes","yes","right","yes","yes","yes"
"162","favourable","no","no","dirty","no","not_effective","effective","yes","0.5","urea","yes","free","poor","0_to_70","0.75","lots","yes","no","no","right","no","no","no"
"163","favourable","no","no","dirty","yes","not_effective","effective","no","1","AN","yes","free","poor",">=_100","0.75","lots","no","no","yes","right","yes","yes","yes"
"164","unfavourable","yes","no","clean","no","not_effective","not_effective","yes","0.5","urea","yes","free","poor","70_to_100","1","less","no","yes","no","wrong","yes","no","yes"
"165","unfavourable","yes","no","dirty","yes","effective","not_effective","yes","1","urea","no","infested","good",">=_100","0.5","less","no","yes","yes","wrong","yes","yes","yes"
"166","favourable","no","yes","clean","yes","not_effective","effective","yes","0.5","urea","yes","free","poor","0_to_70","1","less","no","no","no","right","no","yes","yes"
"167","favourable","no","yes","clean","no","not_effective","not_effective","yes","0.5","AN","no","free","good","0_to_70","0.5","less","no","no","yes","right","no","yes","no"
"168","favourable","yes","yes","clean","yes","not_effective","not_effective","no","1","urea","yes","infested","good",">=_100","1","lots","yes","yes","yes","wrong","yes","no","yes"
"169","unfavourable","no","yes","dirty","yes","not_effective","effective","no","0.5","AN","yes","free","good",">=_100","1","lots","yes","yes","yes","wrong","no","yes","yes"
"170","favourable","yes","yes","dirty","yes","effective","not_effective","yes","0.5","urea","no","infested","poor","0_to_70","0.5","less","no","no","yes","right","yes","yes","no"
"171","favourable","no","yes","clean","yes","effective","not_effective","yes","1","urea","yes","infested","good",">=_100","1","lots","yes","yes","no","wrong","no","yes","no"
"172","unfavourable","yes","no","dirty","no","effective","effective","yes","0.5","AN","no","infested","good",">=_100","0.5","lots","yes","no","no","right","yes","yes","no"
"173","favourable","yes","no","clean","no","not_effective","effective","no","0.5","AN","no","free","good","0_to_70","0.75","lots","no","no","yes","wrong","yes","yes","no"
"174","unfavourable","yes","no","dirty","no","not_effective","not_effective","yes","1","AN","yes","infested","poor",">=_100","0.75","less","yes","yes","no","wrong","no","yes","no"
"175","favourable","no","yes","clean","no","not_effective","effective","no","1","urea","yes","infested","poor","70_to_100","1","lots","no","yes","no","wrong","yes","no","no"
"176","favourable","no","yes","clean","no","effective","effective","no","0.5","AN","no","infested","poor",">=_100","0.5","lots","no","yes","yes","right","no","no","yes"
"177","favourable","yes","no","dirty","yes","effective","not_effective","yes","1","urea","yes","infested","good","70_to_100","0.5","less","yes","yes","yes","right","no","no","no"
"178","favourable","yes","no","dirty","yes","effective","effective","yes","1","urea","no","free","poor","0_to_70","1","lots","yes","no","yes","right","no","yes","no"
"179","unfavourable","yes","yes","clean","no","not_effective","not_effective","no","0.5","AN","yes","free","poor","70_to_100","0.5","lots","no","no","yes","right","yes","no","yes"
"180","favourable","no","no","dirty","yes","effective","not_effective","no","1","urea","yes","infested","poor","70_to_100","0.75","less","yes","no","yes","right","yes","yes","no"
"181","favourable","yes","no","dirty","yes","effective","not_effective","yes","0.5","urea","no","free","poor","70_to_100","0.5","lots","no","yes","yes","right","no","no","yes"
"182","favourable","yes","no","clean","yes","not_effective","effective","yes","1","AN","yes","infested","good","70_to_100","1","less","no","yes","no","right","no","yes","no"
"183","unfavourable","no","no","dirty","no","not_effective","not_effective","no","0.5","AN","yes","infested","poor",">=_100","0.5","lots","yes","no","yes","right","no","yes","no"
"184","favourable","no","yes","dirty","yes","effective","not_effective","yes","0.5","AN","no","infested","good","0_to_70","1","lots","yes","yes","no","wrong","no","no","no"
"185","unfavourable","no","no","dirty","no","effective","effective","yes","0.5","AN","no","free","poor","70_to_100","0.75","less","yes","no","no","right","yes","yes","no"
